Description,Category
Lunch at cafe - sandwich and juice #11,Food
Veterinary visit payment #7 at store #11 - online,PetCare
Heroku dyno monthly fee #4,CloudServices
Paid for CDN service #6,CloudServices
D-Mart vegetables purchase #16 at store #16,Groceries
Bought greeting cards and gifts #10,Gifts
Lunch at cafe - sandwich and juice #13 - online,Food
Bought greeting cards and gifts #2 - online,Gifts
Domino's pizza order for dinner #23,Food
Bought greeting cards and gifts #9,Gifts
Birthday gift - watch #11,Gifts
Azure VM monthly charge #13,CloudServices
Cat litter and pet supplies bought #17,PetCare
Auto rickshaw fare #17 at store #18,Transport
Concert ticket purchase #25,Entertainment
Paid domain renewal on GoDaddy #8 - online,CloudServices
Bought pet bed and blanket #13 at store #2,PetCare
Vaccination charge #10,Health
Dental cleaning appointment charge #24 at store #14 - online,Health
Purchased glucose test strips #22 at store #19 - online,Health
Bought office desk organizer #25 at store #12,Stationery
Bought snacks and chips #24,Food
Vehicle washing service charge #15 - online,Services
Paid for photocopying services #3,Services
Paid for photocopying services #11 at store #10,Services
Paid tailoring charges for kurta #2 at store #18,Fashion
Gift hamper for festival #12 at store #9,Gifts
Internet installation service fee #2,Services
Car parking fee mall #9,Transport
Bought sunglasses from Ray-Ban store #5,Fashion
Internet installation service fee #1 - online,Services
Pet vaccination charges #5,PetCare
Stationery purchase - notebook and pens #4,Stationery
Footwear purchase at Bata #3,Fashion
Auto rickshaw fare #18 at store #7,Transport
Bought cookware pans #19 - online,Household
Storage bucket overage fee #22 - online,CloudServices
Zara blazer purchase #4,Fashion
Stand-up comedy show ticket #10 at store #6,Entertainment
Spencer's essentials shopping #9,Groceries
Cooking utensils set purchase #23,Household
Home cleaning service payment #10 - online,Services
Purchased pet shampoo and care items #18,PetCare
Veterinary visit payment #8,PetCare
Reliance Fresh fruits and milk #6,Groceries
Walmart grocery items #2,Groceries
File folders and labels bought #10 - online,Stationery
Paid for photocopying services #16,Services
Myntra order - summer dress #13,Fashion
Spencer's essentials shopping #4,Groceries
Uber ride to office #24 - online,Transport
Paid for CDN service #1 at store #11,CloudServices
Bought personalized mug as gift #16 at store #11,Gifts
Internet installation service fee #19,Services
Dinner at local restaurant #18,Food
Ride-hailing surge fare #6,Transport
Monthly subscription for monitoring service #12 at store #16,CloudServices
Bought vitamins and supplements #19 at store #4,Health
Paid for office lunch buffet #6,Food
Paid for photocopying services #13 at store #6,Services
Subscription to magazine service #13 at store #11,Entertainment
Bought eggs and dairy products #13,Groceries
DigitalOcean droplet payment #18 at store #14,CloudServices
Subscription to magazine service #19,Entertainment
Paid toll booth charges #14 - online,Transport
Picked organic vegetables from market #5,Groceries
Bed sheets and pillow covers purchase #4,Household
Doctor consultation fee #14,Health
Purchased flea treatment for pet #9,PetCare
Courier service charges #18 at store #3 - online,Services
Paid toll booth charges #2 at store #7,Transport
Pet grooming session paid #25 - online,PetCare
Bought snacks and chips #19,Food
Grocery shopping at Big Bazaar #20 at store #19 - online,Groceries
Bed sheets and pillow covers purchase #13 - online,Household
Bought personalized mug as gift #22 - online,Gifts
Spotify premium renewal #20 at store #5,Entertainment
Household cleaning supplies purchase #1,Household
Returned faulty shirt and refunded #22,Fashion
OTC cold medicine purchase #7,Health
Streaming service annual plan #22,Entertainment
Azure VM monthly charge #20,CloudServices
Cab share to work #10,Transport
Medical insurance premium payment #17,Health
Spotify premium renewal #24,Entertainment
Bought cookware pans #11,Household
Vehicle washing service charge #20,Services
Anniversary gift shopping #25 at store #5,Gifts
Internet installation service fee #9 - online,Services
Bought drawing pencils and erasers #16 - online,Stationery
Book purchased on Kindle #8 at store #5,Entertainment
Paid toll booth charges #20 at store #8,Transport
Bought denim jeans from Zara #17,Fashion
Purchased light bulbs and batteries #7 at store #14 - online,Household
Bought greeting cards and gifts #15,Gifts
Paid for vehicle servicing commute #25,Transport
Storage bucket overage fee #24 - online,CloudServices
Paid tailoring charges for kurta #23,Fashion
Purchased gift basket from store #1 at store #2 - online,Gifts
Eye checkup and glasses consultation #1 at store #1,Health
Paid plumber for home repair #14,Household
Paid for handyman repair service #24 - online,Services
Netflix monthly subscription #21 at store #15,Entertainment
Frozen foods purchase #11,Groceries
Concert ticket purchase #15,Entertainment
Bought denim jeans from Zara #14 at store #18,Fashion
Purchased gift basket from store #3,Gifts
Taxi from airport to home #19 - online,Transport
Car parking fee mall #4 - online,Transport
Bed sheets and pillow covers purchase #12 at store #9,Household
Taxi fare for night travel #22 - online,Transport
Paid for photocopying services #21 at store #15,Services
Spotify premium renewal #23,Entertainment
Office stationery order #5,Stationery
Reliance Fresh fruits and milk #10,Groceries
Pet food purchase for dog #2,PetCare
Zomato delivery - sushi #14,Food
Ride-hailing surge fare #3 at store #15 - online,Transport
Paid for CDN service #23,CloudServices
Bought drawing pencils and erasers #11,Stationery
Nike sneakers online #6,Fashion
Household cleaning supplies purchase #9,Household
Book purchased on Kindle #12 at store #14,Entertainment
